City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Fukuma,JP,33.7667,130.4667,37.4,69,100,19.55,light rain
300,Nouakchott,MR,18.0858,-15.9785,84.13,26,0,12.91,clear sky
301,Iqaluit,CA,63.7506,-68.5145,11.93,72,100,5.75,overcast clouds
302,Evensk,RU,61.95,159.2333,28.6,47,0,27.42,clear sky
303,Hualmay,PE,-11.0964,-77.6139,74.17,74,64,11.88,broken clouds
304,Galle,LK,6.0367,80.217,76.77,88,25,12.12,scattered clouds
305,Buala,SB,-8.145,159.5921,78.28,84,100,5.1,light rain
306,Constitucion,CL,-35.3333,-72.4167,67.19,49,0,22.08,clear sky
307,Teya,RU,60.3778,92.6267,-17.16,99,99,4.38,overcast clouds
308,Nador,MA,35.174,-2.9287,66.27,72,0,4.61,clear sky
309,Orodara,BF,10.9492,-4.9342,75.56,20,81,5.26,broken clouds
310,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,20,5.75,few clouds
311,Nizhniy Tsasuchey,RU,50.5167,115.1333,-19.19,97,14,2.15,few clouds
312,Bridlington,GB,54.0831,-0.1919,45.01,94,100,18.99,light rain
313,Port Augusta,AU,-32.5,137.7667,66.58,69,0,10.27,clear sky
314,Summerville,US,33.0185,-80.1757,44.55,31,0,20.71,clear sky
315,Cusco,PE,-13.5183,-71.9781,70.03,30,40,11.5,scattered clouds
316,Barreiras,BR,-12.1528,-44.99,79.86,72,91,2.89,overcast clouds
317,Roald,NO,62.5833,6.1333,35.76,93,75,3.44,light snow
318,Cabo San Lucas,MX,22.8909,-109.9124,76.51,56,0,3.44,clear sky
319,Sorland,NO,67.667,12.6934,35.46,59,92,22.15,overcast clouds
320,Kinablangan,PH,7.6947,126.5503,78.04,88,90,3.51,overcast clouds
321,Ortakoy,TR,38.7373,34.0387,30.45,80,0,1.97,clear sky
322,Pampierstad,ZA,-27.7832,24.6877,82.81,27,27,10.33,scattered clouds
323,Juneau,US,58.3019,-134.4197,21.22,82,100,11.5,light snow
324,Luderitz,NA,-26.6481,15.1594,67.17,75,1,18.77,clear sky
325,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,93.45,41,55,4.29,broken clouds
326,Naze,JP,28.3667,129.4833,49.12,71,99,25.08,light rain
327,Pizhanka,RU,57.4604,48.542,32.65,98,100,13.04,overcast clouds
328,Fonte Boa,BR,-2.4959,-66.2662,85.05,76,20,5.19,few clouds
329,Omsukchan,RU,62.5333,155.8,-9.56,70,0,4.63,clear sky
330,Dhidhdhoo,MV,6.8833,73.1,80.76,72,69,9.24,broken clouds
331,Tabou,CI,4.423,-7.3528,81.27,73,31,8.93,scattered clouds
332,Sisimiut,GL,66.9395,-53.6735,10.13,60,18,10.38,few clouds
333,Ahipara,NZ,-35.1667,173.1667,62.42,90,96,2.91,overcast clouds
334,Mount Isa,AU,-20.7333,139.5,76.77,100,40,3.44,scattered clouds
335,Gasa,PS,31.5,34.4667,56.88,65,4,4.7,clear sky
336,Alanya,TR,36.5438,31.9998,53.73,53,1,4.36,clear sky
337,Sambava,MG,-14.2667,50.1667,78.08,87,88,6.67,moderate rain
338,Salisbury,GB,51.0693,-1.7957,51.44,83,75,12.66,broken clouds
339,Cockburn Town,TC,21.4612,-71.1419,79.27,72,14,10.94,few clouds
340,San Andres,CO,12.5847,-81.7006,86.02,70,20,14.97,few clouds
341,Barcelos,PT,41.5388,-8.6151,62.74,87,100,14.76,overcast clouds
342,Kendari,ID,-3.945,122.4989,78.75,79,100,8.32,overcast clouds
343,Mulege,MX,26.8833,-111.9833,69.62,27,32,3.67,scattered clouds
344,Vanimo,PG,-2.6741,141.3028,77.81,90,83,5.68,broken clouds
