City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Pisco,PE,73.02,broken clouds,-13.7,-76.2167,La Portada
416,Pacific Grove,US,56.01,clear sky,36.6177,-121.9166,Pacific Grove Inn
417,Kibre Mengist,ET,64.18,overcast clouds,5.8833,38.9833,Ochee Hotel
420,Port Macquarie,AU,66.88,overcast clouds,-31.4333,152.9167,The Observatory
422,Moerai,PF,76.26,clear sky,-22.4333,-151.3333,Manotel Rurutu
425,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Ocean Centre Hotel
426,Riohacha,CO,87.91,scattered clouds,11.5444,-72.9072,IMPERIAL
430,Livermore,US,52.38,mist,37.6819,-121.768,Del Valle Lodge
432,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,The Adventures Inn
439,Kampot,KH,68.05,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
440,Havelock,US,62.55,clear sky,34.8791,-76.9013,Quality Inn Havelock Hwy 70
442,Kokkarion,GR,59.92,scattered clouds,37.7764,26.8939,Cattleya
446,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Terra Sur
450,Esperance,AU,63.66,light rain,-33.8667,121.9,Best Western
453,La Libertad,EC,78.46,clear sky,-2.2333,-80.9,Hotel Mar Caribe
455,Port Blair,IN,80.64,mist,11.6667,92.75,Andaman Ocean Breeze
464,Necochea,AR,71.69,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
467,Villa Maria,AR,78.01,overcast clouds,-32.4075,-63.2402,Gran Hotel Orión
469,Cerqueira Cesar,BR,76.37,broken clouds,-23.0356,-49.1661,Spazio Verde
472,Vaitape,PF,80.44,light rain,-16.5167,-151.75,Oa Oa Lodge
475,Ulladulla,AU,61.86,scattered clouds,-35.35,150.4667,Hotel Marlin
480,Abha,SA,55.22,few clouds,18.2164,42.5053,SAHAB
481,Coffs Harbour,AU,69.13,light intensity shower rain,-30.3,153.1333,The Coast Hotel
482,Cottonwood,US,57.9,overcast clouds,34.7392,-112.0099,The Tavern Hotel
484,Warrnambool,AU,55.45,overcast clouds,-38.3833,142.4833,Central Court
485,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
487,Jerusalem,IL,52.0,broken clouds,31.769,35.2163,ענבל
498,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
506,Namatanai,PG,79.29,overcast clouds,-3.6667,152.4333,Namatanai Hotel
507,Nago,JP,55.83,overcast clouds,26.5881,127.9761,白浜
508,Kon Tum,VN,55.44,broken clouds,14.35,108.0,Bich Hin
511,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Praia Dourada
519,Buraydah,SA,61.25,scattered clouds,26.326,43.975,دنا للوحدات السكنية
520,Wageningen,NL,53.06,drizzle,51.9667,5.6667,Hotel De Wereld
522,San-Pedro,CI,81.1,few clouds,4.7485,-6.6363,Hôtel La Cité De San Pédro
523,Morondava,MG,80.55,broken clouds,-20.2833,44.2833,Hotel Sharon Menabe
